,Наименование,Бренд,Цена,Цена со скидкой,Цвет,Ссылка
0,RLB AL Raptor 2K Защитное покрытие (черный) 400 мл,U-POL,3350.0,3350,черный,https://www.wildberries.ru/catalog/140851231/detail.aspx?targetUrl=BP
1,Аэрозольная автоэмаль 520 мл Черный глянцевый,MobiCAR,365.0,365,черный,https://www.wildberries.ru/catalog/15810932/detail.aspx?targetUrl=BP
2,Краска аэрозольная быстросохнущая,Sila HOME,1000.0,550,желтый,https://www.wildberries.ru/catalog/91921054/detail.aspx?targetUrl=BP
3,Краска-спрей MASTERS (фиолетовая) 400мл,Abro,934.0,326,фиолетовый,https://www.wildberries.ru/catalog/51653074/detail.aspx?targetUrl=BP
4,"Аэрозольная краска LADA, цвет 246 - АНГКОР (ANGKOR)",COLOR1,740.0,740,,https://www.wildberries.ru/catalog/66631031/detail.aspx?targetUrl=BP
5,Эмаль акриловая глянцевая KUDO 520МЛ,,800.0,480,зеленый,https://www.wildberries.ru/catalog/142950154/detail.aspx?targetUrl=BP
6,Краска аэрозольная быстросохнущая,Sila HOME,830.0,415,красный,https://www.wildberries.ru/catalog/91836340/detail.aspx?targetUrl=BP
7,"Краска Renault Gris Basalte KNM, TEKNM",PODBORCVETA,1525.0,1525,,https://www.wildberries.ru/catalog/143965788/detail.aspx?targetUrl=BP
8,"Жидкая резина COLOR FLEX, Флуоресцентный зеленый",KUDO,741.0,741,зеленый,https://www.wildberries.ru/catalog/137207252/detail.aspx?targetUrl=BP
9,Краска аэрозольная быстросохнущая,Sila HOME,1000.0,550,красный,https://www.wildberries.ru/catalog/91940398/detail.aspx?targetUrl=BP
10,"Аэрозольная краска RENAULT, цвет 632 - GRIS BOREAL",COLOR1,740.0,740,,https://www.wildberries.ru/catalog/66631256/detail.aspx?targetUrl=BP
11,Краска для дисков автомобиля эмаль аэрозольная черная,KUDO,1200.0,600,,https://www.wildberries.ru/catalog/148357967/detail.aspx?targetUrl=BP
12,"Жидкая резина COLOR FLEX, Белая",KUDO,741.0,741,белый,https://www.wildberries.ru/catalog/137402556/detail.aspx?targetUrl=BP
13,"Автоэмаль для суппортов и тормозных барабанов, желтый",AUTON,1052.0,526,,https://www.wildberries.ru/catalog/141777045/detail.aspx?targetUrl=BP
14,"Аэрозольная краска LADA, цвет 130 - МАРС (MARS)",COLOR1,740.0,740,,https://www.wildberries.ru/catalog/66630504/detail.aspx?targetUrl=BP
15,Краска акриловая черный глянец 600мл,Dupli Color,658.0,658,черный,https://www.wildberries.ru/catalog/150246961/detail.aspx?targetUrl=BP
16,Краска аэрозольная серебристая баллончик 500мл,Chamaleon,1300.0,754,серый,https://www.wildberries.ru/catalog/118040598/detail.aspx?targetUrl=BP
17,Краска аэрозольная быстросохнущая,Sila HOME,830.0,415,красный,https://www.wildberries.ru/catalog/91836331/detail.aspx?targetUrl=BP
